id,english_name,x_min,y_min,x_max,y_max,width_m,depth_m,area_m2
S01,Standard Horse Stall 1,0.0,15.24,3.75,18.99,3.75,3.75,14.0625
S02,Standard Horse Stall 2,3.75,15.24,7.5,18.99,3.75,3.75,14.0625
S03,Standard Horse Stall 3,7.5,15.24,11.25,18.99,3.75,3.75,14.0625
S04,Standard Horse Stall 4,11.25,15.24,15.0,18.99,3.75,3.75,14.0625
S05,Standard Horse Stall 5,15.0,15.24,18.75,18.99,3.75,3.75,14.0625
S06,Standard Horse Stall 6,18.75,15.24,22.5,18.99,3.75,3.75,14.0625
S07,Standard Horse Stall 7,22.5,15.24,26.25,18.99,3.75,3.75,14.0625
S08,Standard Horse Stall 8,26.25,15.24,30.0,18.99,3.75,3.75,14.0625
S09,Standard Horse Stall 9,30.0,15.24,33.75,18.99,3.75,3.75,14.0625
S10,Standard Horse Stall 10,33.75,15.24,37.5,18.99,3.75,3.75,14.0625
S11,Standard Horse Stall 11,0.0,22.49,3.75,26.24,3.75,3.75,14.0625
S12,Standard Horse Stall 12,3.75,22.49,7.5,26.24,3.75,3.75,14.0625
S13,Standard Horse Stall 13,7.5,22.49,11.25,26.24,3.75,3.75,14.0625
S14,Standard Horse Stall 14,11.25,22.49,15.0,26.24,3.75,3.75,14.0625
S15,Standard Horse Stall 15,15.0,22.49,18.75,26.24,3.75,3.75,14.0625
S16,Standard Horse Stall 16,18.75,22.49,22.5,26.24,3.75,3.75,14.0625
S17,Standard Horse Stall 17,22.5,22.49,26.25,26.24,3.75,3.75,14.0625
S18,Standard Horse Stall 18,26.25,22.49,30.0,26.24,3.75,3.75,14.0625
S19,Standard Horse Stall 19,30.0,22.49,33.75,26.24,3.75,3.75,14.0625
S20,Standard Horse Stall 20,33.75,22.49,37.5,26.24,3.75,3.75,14.0625
WB01,Worker Bedroom (4 workers),0.5,26.24,7.5,30.24,7.0,4.0,28.0
WK01,Worker Kitchen,7.5,26.24,12.0,30.24,4.5,4.0,18.0
WBTH01,Worker Bathroom,12.0,26.24,15.0,30.24,3.0,4.0,12.0
P01,Premium Horse Stall 1,15.0,26.24,19.0,30.24,4.0,4.0,16.0
SP01,Special Horse Room 1 (label unresolved),19.0,26.24,22.5,30.24,3.5,4.0,14.0
FD01,Feed Room,22.5,26.24,26.5,30.24,4.0,4.0,16.0
SV01,Service Room,26.5,26.24,29.5,29.24,3.0,3.0,9.0
SP02,Special Horse Room 2 (label unresolved),29.5,26.24,33.0,30.24,3.5,4.0,14.0
P02,Premium Horse Stall 2,33.0,26.24,37.0,30.24,4.0,4.0,16.0
MJ01,Men's Majlis,2.0,5.0,10.0,13.24,8.0,8.24,65.92
MWC01,Men's WC (majlis),10.0,5.0,11.76,6.76,1.76,1.76,3.0976
OSA01,Outdoor Majlis / Sitting Area,12.5,5.0,20.5,13.24,8.0,8.24,65.92
PBR01,Private Bedroom,22.5,5.0,27.33,8.76,4.83,3.76,18.1608
PBTH01,Private Bathroom,22.5,8.76,27.33,10.76,4.83,2.0,9.66
PK01,Parking Apron (4 bays),26.0,0.5,37.0,4.5,11.0,4.0,44.0
PD01,Paddock 1,0.0,31.24,17.0,50.0,17.0,18.76,318.92
PD02,Paddock 2,20.5,31.24,37.5,50.0,17.0,18.76,318.92
WSY01,Wash / Manure Service Spine,17.0,31.24,20.5,50.0,3.5,18.76,65.66
FL01,Perimeter Service / Fire Lane,37.5,0.0,40.0,50.0,2.5,50.0,125.0
MC01,Motor Court / Arrival,0.0,0.0,37.5,5.0,37.5,5.0,187.5
