function,count,area_m2,pct_of_scheduled
Paddocks,2,637.84,38.7%
Standard Horse Stalls,20,281.25,17.1%
Arrival / Motor Court,1,187.50,11.4%
Fire Lane / Service Lane,1,125.00,7.6%
Men's Majlis,1,65.92,4.0%
Outdoor Majlis / Sitting,1,65.92,4.0%
Service Yard,1,65.66,4.0%
Parking Apron,1,44.00,2.7%
Premium Horse Stalls,2,32.00,1.9%
Worker Bedroom,1,28.00,1.7%
Veterinary / Isolation Rooms,2,28.00,1.7%
Private Bedroom,1,18.16,1.1%
Service Room,1,18.00,1.1%
Feed Room,1,16.00,1.0%
Worker Kitchen,1,14.00,0.8%
Private Bathroom,1,9.66,0.6%
Worker Bathroom,1,8.00,0.5%
Men's WC,1,3.10,0.2%

TOTAL SCHEDULED,40,1648.01,82.4%
SITE AREA,,2000.00,100.0%
